name,state,vertical,summit,base,lifts,trails,longest_run,snowboarding,terrain_park,half_pipe,annual_snowfall,snowmaking,skiable_area,green,blue,black,double_black,xc,tubing
alpine-valley,ohio,230,1500,1260,6,10,2000,1,1,1,120,100,72,33,34,33,,0,1,
boston-mills--brandywine,ohio,,,,,,,,,,,,,,,,,,,
clear-fork,ohio,290,1380,1090,6,10,1320,1,1,0,75,80,60,29,42,29,,0,1,
mad-river-mountain,ohio,300,1460,1160,6,15,3000,1,1,1,36,100,125,22,34,44,,0,1,
snow-trails,ohio,300,1475,1175,6,16,2000,1,1,1,60,100,50,20,60,20,,0,0,
deer-mountain,south-dakota,800,7000,6200,4,32,5280,1,1,1,150,,200,40,40,20,,14,1,
great-bear-park,south-dakota,620,1440,820,4,12,,1,1,1,,,,25,50,25,,0,1,
terry-peak,south-dakota,1100,7052,5900,5,24,10560,1,1,1,150,60,400,20,70,10,,170,0,
alpine-valley,wisconsin,388,1260,1020,14,20,3000,1,1,0,80,100,90,40,40,20,,10,0,
bruce-mound,wisconsin,375,,,4,7,3000,1,0,0,45,100,40,29,29,42,,30,1,
cascade-mountain,wisconsin,460,1280,820,10,27,5280,1,1,1,60,100,135,37,19,44,,0,1,
christie-mountain,wisconsin,350,1650,1300,5,20,4000,1,1,0,60,100,14,40,25,30,5,0,1,
christmas-mountain,wisconsin,250,1250,1000,3,7,2640,1,0,0,40,100,40,40,40,20,,10,1,
crystal-ridge,wisconsin,225,290,65,5,10,2100,1,1,0,50,100,75,20,50,30,,0,0,
devils-head,wisconsin,500,995,495,16,28,8245,1,1,1,70,100,260,30,40,30,,20,0,
grand-geneva,wisconsin,211,1086,874,5,15,1320,1,1,1,46,100,14,30,40,30,,10,0,
granite-peak,wisconsin,700,1924,1224,5,72,5280,1,1,1,75,100,400,35,30,30,5,0,0,
highlands-of-olympia,wisconsin,205,,,3,15,2100,1,1,1,60,100,25,50,30,20,,0,0,
keyes-peak,wisconsin,230,,,3,5,450,1,0,0,60,40,,20,60,20,,0,0,
little-switzerland,wisconsin,200,,,7,15,1800,1,1,1,45,100,50,30,45,35,,0,0,
mont-du-lac,wisconsin,300,917,617,2,7,2400,1,1,0,95,100,55,33,34,33,,0,0,
mount-ashwabay,wisconsin,317,1286,963,5,13,1500,1,0,1,120,,65,30,30,25,15,40,0,
mt-la-crosse,wisconsin,516,1110,594,4,18,5300,1,1,1,40,100,100,30,40,20,10,5,0,
nordic-mountain,wisconsin,265,1137,872,6,14,5280,1,1,1,80,100,85,15,50,35,,7,0,
standing-rocks,wisconsin,125,,,3,5,1200,1,0,0,45,,300,25,50,25,,16,0,
sunburst,wisconsin,214,1100,866,7,10,1300,1,1,1,50,100,35,20,35,35,10,0,1,
sylvan-hill-park,wisconsin,110,1300,1190,4,5,1850,1,0,0,50,,54,60,40,,,10,0,
telemark,wisconsin,370,1770,1400,2,3,1760,1,0,0,70,100,30,20,50,30,,45,1,
trollhaugen,wisconsin,280,1200,920,10,22,2500,1,1,1,50,100,80,29,43,28,,0,0,
tyrol-basin,wisconsin,300,1160,860,6,16,2640,1,1,1,50,100,24,32,28,40,,0,0,
whitecap-mountain,wisconsin,400,1750,1350,9,35,5280,1,1,0,200,90,500,33,34,33,,0,0,
wilmot-mountain,wisconsin,230,,,14,25,2500,1,1,1,35,100,120,30,30,40,,0,0,
wintergreen,wisconsin,410,,,3,9,1300,0,0,0,,,,,,,,0,0,
woodside-ranch,wisconsin,100,,,1,2,1000,1,0,0,50,100,4,100,,,,20,1,
wisp-at-deep-creek,maryland,610,3080,2470,9,22,7920,1,1,1,100,90,100,20,50,30,,0,1,
appalachian,north-carolina,365,4000,3635,5,9,2700,1,0,0,60,100,22,22,45,33,,0,0,
beech-mountain,north-carolina,830,5505,4675,10,15,5280,1,1,1,80,100,90,30,40,30,,0,1,
cataloochee,north-carolina,740,5400,4660,4,10,10560,1,0,0,48,100,15,25,50,25,,0,0,
hawksnest,north-carolina,669,4819,4150,4,14,2200,1,1,1,90,100,42,40,40,20,,0,0,
sapphire-valley,north-carolina,200,4800,4600,2,2,1600,1,0,0,30,100,7,50,50,,,0,1,
scaly-mountain,north-carolina,225,4025,3800,3,3,600,1,0,0,,100,12,33,67,,,0,1,
sugar-mountain,north-carolina,1200,5300,4100,8,20,7920,1,1,0,78,100,115,40,40,20,,0,1,
wolf-laurel,north-carolina,650,4600,3950,5,16,5280,1,1,0,50,100,54,12,44,32,12,0,1,
alpine-mountain,pennsylvania,500,1150,600,3,21,3500,1,1,1,50,100,120,17,55,28,,0,1,
bear-creek,pennsylvania,510,1110,600,7,17,7920,1,1,1,100,100,90,30,40,30,,0,1,
big-boulder,pennsylvania,600,2275,1700,7,15,6400,1,1,1,50,100,55,40,35,25,,3,1,
blue-knob,pennsylvania,1072,3146,2074,6,34,10560,1,1,0,100,95,82,29,33,24,14,10,1,
